call,node_depth,var,score,num_candidates,time
280,32,t_x_13,0.32947148876779175,33,14.638718
281,33,t_x_139,0.32800220097911803,32,14.656741
282,34,t_x_411,0.32753300194262525,31,14.679259
283,35,t_x_236,0.3274205406343998,30,14.710639
284,36,t_x_10,0.3272199581788964,29,14.733170
285,37,t_x_19,0.32721141007081767,28,14.755044
286,34,t_x_411,0.32753300194262525,62,14.799115
287,35,t_x_10,0.3272199581788964,61,14.825403
288,36,t_x_19,0.32721141007081767,60,14.850143
289,37,t_x_15,0.3268669079888928,59,14.892099
290,27,t_x_170,0.33769692936302953,63,14.943444
291,28,t_x_200,0.3375840595031447,62,14.968256
292,29,t_x_26,0.33710634432496456,29,15.001557
293,30,t_x_77,0.33679519038950717,28,15.022566
294,32,t_x_13,0.32947148876779175,75,15.064776
295,33,t_x_2,0.3292931030611546,74,15.115044
296,34,t_x_400,0.3277550551348225,33,15.150557
297,35,t_x_14,0.3274421151063002,32,15.172545
298,36,t_x_10,0.3272199581788964,31,15.204541
299,37,t_x_19,0.32721141007081767,30,15.225913
300,38,t_x_22,0.32643339157926643,29,15.247543
301,39,t_x_339,0.3264010485281532,28,15.268975
302,34,t_x_139,0.32800220097911803,73,15.304981
303,35,t_x_142,0.3279009411221477,72,15.354017
304,36,t_x_176,0.32783752541092237,71,15.382526
305,37,t_x_400,0.3277550551348225,70,15.431535
306,38,t_x_411,0.32753300194262525,69,15.459409
307,39,t_x_14,0.3274421151063002,34,15.495071
308,40,t_x_236,0.3274205406343998,33,15.517600
309,41,t_x_145,0.32726340919038455,32,15.540955
310,42,t_x_10,0.3272199581788964,31,15.563766
311,43,t_x_192,0.3270128963252965,30,15.585922
312,44,t_x_237,0.32638683091703363,29,15.618210
313,45,t_x_286,0.32463937627479783,28,15.640761
314,17,t_x_64,0.33373433301465677,49,15.683816
315,18,t_x_407,0.3335813800840952,48,15.709448
316,19,t_x_7,0.3333504982591583,47,15.745566
317,20,t_x_86,0.33251677012533615,46,15.768659
318,26,t_x_98,0.3410733321474508,424,15.814832
319,27,t_x_67,0.33840693255154114,101,15.984492
320,28,t_x_83,0.3381592926679389,100,16.015014
321,29,t_x_200,0.3375840595031447,99,16.074926
322,30,t_x_20,0.3353069744273539,98,16.133716
323,31,t_x_7,0.3333504982591583,97,16.197078
324,32,t_x_102,0.3327795616365271,96,16.256011
325,33,t_x_144,0.33260950631875075,46,16.300643
326,34,t_x_100,0.33060072836282683,45,16.324768
327,35,t_x_373,0.3291839228566644,29,16.348361
328,36,t_x_97,0.3290778133744423,28,16.369125
329,37,t_x_318,0.3286139811380062,27,16.399478
330,38,t_x_129,0.3285813450795422,26,16.419994
